2023-02-16 16:59:01.491 | INFO | 35711 | 8608773632 | 49e2ee3a29c846738822bbd191a90375 | main.py:startup_event:63 | msg: app startup
2023-02-16 16:59:12.601 | WARNING | 35711 | 13080756224 | dc7f3052b2b642bb9bd4e055a5835f6a | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:01:36.554 | INFO | 35820 | 8678393344 | 41b545c38a2d40fcb246dd96d3876dbf | main.py:startup_event:63 | msg: app startup
2023-02-16 17:05:01.382 | INFO | 35945 | 8633280000 | 8fac73a01cfe49918c2bd3f0a25fd733 | main.py:startup_event:63 | msg: app startup
2023-02-16 17:05:16.392 | WARNING | 35945 | 13129113600 | 00a6544331f34792bdf7fe29e0d09f53 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:05:29.703 | WARNING | 35945 | 13129113600 | 00fe186641da401f90b6a8065cf251e1 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:10:24.287 | INFO | 36106 | 8630957568 | 8949acbaba80409f81656ed51a1f8615 | main.py:startup_event:63 | msg: app startup
2023-02-16 17:16:48.492 | INFO | 36295 | 8639448576 | 31dc0b1032d94f5ab9c194a5defc2879 | main.py:startup_event:63 | msg: app startup
2023-02-16 17:18:02.570 | INFO | 36383 | 8603633152 | 00138f3866fb4ce2b93d6527622b3349 | main.py:startup_event:63 | msg: app startup
2023-02-16 17:19:06.719 | INFO | 36475 | 8631899648 | 97df9618820c43febb2f9ceaa3dc6aa2 | main.py:startup_event:63 | msg: app startup
2023-02-16 17:19:10.396 | WARNING | 36475 | 13125066752 | 8b01aebe651f40f8a92ba519873927d3 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:19:30.331 | WARNING | 36475 | 13125066752 | dbdb2e3d9b8045c08250d9d85e15144c | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:19:44.691 | WARNING | 36475 | 13125066752 | b5a1efa687ec4e14997c5de6c426416d | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
2023-02-16 17:20:05.394 | WARNING | 36475 | 13125066752 | f92e6d98cbca494fb5d63b1eda11ad46 | paddleocr.py:ocr:519 | msg: Since the angle classifier is not initialized, the angle classifier will not be uesd during the forward process
